,name,Show URL,Show Type,Language,Genres,Status,Runtime,Premiere Date,Official Site,Time,Day,Network,Country,Country Code,Timezone,Summary,Full Img,Med img,Created By,Ratings,Ratings Count,Release_year,Duration,Cast
0,Under the Dome,https://www.tvmaze.com/shows/1/under-the-dome,Scripted,English,"['Drama', 'Science-Fiction', 'Thriller']",Ended,60,6/24/2013,http://www.cbs.com/shows/under-the-dome/,22:00,['Thursday'],CBS,United States,US,America/New_York,"Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away.",http://static.tvmaze.com/uploads/images/original_untouched/81/202627.jpg,//static.tvmaze.com/uploads/images/medium_portrait/81/202627.jpg,Stephen King,6.6,218,NA,NA,NA
1,Person of Interest,https://www.tvmaze.com/shows/2/person-of-interest,Scripted,English,"['Action', 'Crime', 'Science-Fiction']",Ended,60,9/22/2011,http://www.cbs.com/shows/person_of_interest/,22:00,['Tuesday'],CBS,United States,US,America/New_York,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you.",http://static.tvmaze.com/uploads/images/original_untouched/163/407679.jpg,//static.tvmaze.com/uploads/images/medium_portrait/163/407679.jpg,Jonathan Nolan,8.9,317,2016,5 Seasons,"Jim Caviezel, Michael Emerson, Taraji P. Henson, Kevin Chapman, Sarah Shahi, Amy Acker"
2,Bitten,https://www.tvmaze.com/shows/3/bitten,Scripted,English,"['Drama', 'Horror', 'Romance']",Ended,60,1/11/2014,http://bitten.space.ca/,22:00,['Friday'],CTV Sci-Fi Channel,Canada,CA,America/Halifax,"Based on the critically acclaimed series of novels from Kelley Armstrong. Set in Toronto and upper New York State, Bitten follows the adventures of 28-year-old Elena Michaels, the world's only female werewolf. An orphan, Elena thought she finally found her ""happily ever after"" with her new love Clayton, until her life changed forever. With one small bite, the normal life she craved was taken away and she was left to survive life with the Pack.",http://static.tvmaze.com/uploads/images/original_untouched/0/15.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/15.jpg,Grant RosenbergDaegan Fryklind,7.5,80,2016,3 Seasons,"Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund, Paul Greene, Michael Xavier, Genelle Williams"
3,Arrow,https://www.tvmaze.com/shows/4/arrow,Scripted,English,"['Drama', 'Action', 'Science-Fiction']",Ended,60,10/10/2012,http://www.cwtv.com/shows/arrow,21:00,['Tuesday'],The CW,United States,US,America/New_York,"After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime.",http://static.tvmaze.com/uploads/images/original_untouched/213/534017.jpg,//static.tvmaze.com/uploads/images/medium_portrait/213/534017.jpg,NA,7.4,488,2019,8 Seasons,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett"
4,True Detective,https://www.tvmaze.com/shows/5/true-detective,Scripted,English,"['Drama', 'Crime', 'Thriller']",Running,60,1/12/2014,http://www.hbo.com/true-detective,21:00,['Sunday'],HBO,United States,US,America/New_York,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.,http://static.tvmaze.com/uploads/images/original_untouched/178/445621.jpg,//static.tvmaze.com/uploads/images/medium_portrait/178/445621.jpg,Nic Pizzolatto,8.3,298,NA,NA,NA
5,The 100,https://www.tvmaze.com/shows/6/the-100,Scripted,English,"['Action', 'Adventure', 'Science-Fiction']",Ended,60,3/19/2014,http://www.cwtv.com/shows/the-100/,20:00,['Wednesday'],The CW,United States,US,America/New_York,"Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable.",http://static.tvmaze.com/uploads/images/original_untouched/257/642675.jpg,//static.tvmaze.com/uploads/images/medium_portrait/257/642675.jpg,NA,7.7,427,2020,7 Seasons,"Eliza Taylor, Paige Turco, Bob Morley, Marie Avgeropoulos, Christopher Larkin, Henry Ian Cusick, Isaiah Washington, Lindsey Morgan, Devon Bostick, Richard Harmon, Ricky Whittle, Jarod Joseph, Chelsey Reist, Sachin Sahel, Adina Porter"
6,Homeland,https://www.tvmaze.com/shows/7/homeland,Scripted,English,"['Drama', 'Thriller', 'Espionage']",Ended,60,10/2/2011,http://www.sho.com/sho/homeland/home,21:00,['Sunday'],Showtime,United States,US,America/New_York,"The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake.",http://static.tvmaze.com/uploads/images/original_untouched/230/575652.jpg,//static.tvmaze.com/uploads/images/medium_portrait/230/575652.jpg,Gideon Raff,8.2,365,2019,73 min,"Parambrata Chatterjee, Ani Hovhannisyan, Jonathan Dumontier, Varzu, Sylvie de Neef, Prakashchandra Roy, Nicolas Pierson, Anahit Simonyan"
7,Glee,https://www.tvmaze.com/shows/8/glee,Scripted,English,"['Drama', 'Music', 'Romance']",Ended,60,5/19/2009,http://www.fox.com/glee,21:00,['Tuesday'],FOX,United States,US,America/New_York,"Glee is a musical comedy about a group of ambitious and talented young adults in search of strength, acceptance and, ultimately, their voice.",http://static.tvmaze.com/uploads/images/original_untouched/0/73.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/73.jpg,Brad FalchukIan BrennanRyan Murphy,6.7,57,2015,6 Seasons,"Lea Michele, Chris Colfer, Jane Lynch, Matthew Morrison, Cory Monteith, Naya Rivera, Kevin McHale, Jenna Ushkowitz, Amber Riley, Mark Salling, Heather Morris, Harry Shum Jr., Jayma Mays, Dianna Agron"
8,Revenge,https://www.tvmaze.com/shows/9/revenge,Scripted,English,"['Drama', 'Thriller', 'Mystery']",Ended,60,9/21/2011,NA,22:00,['Sunday'],ABC,United States,US,America/New_York,"This is not a story about forgiveness; Revenge is a show about retribution. Meet Emily Thorne, the newest resident of The Hamptons. When she was a little girl (and known as Amanda Clarke) her father, David Clarke, was framed for a horrific crime and subsequently sent to prison. While serving his time, the conspirators plotted and murdered David in order to prevent the truth from coming out. Emily is now back with a new identity and ready to take vengeance on the people that murdered her father and stole her childhood.",http://static.tvmaze.com/uploads/images/original_untouched/82/206879.jpg,//static.tvmaze.com/uploads/images/medium_portrait/82/206879.jpg,Mike Kelley,7.8,78,2017,1 Season,"Lalita Panyopas, Saksit Tangtong, Tao Somchai Khemklad, Tack Parunyu Rojanawuttitum, Pongsatorn Jongwilas, Chaleumpol Tikumpornteerawong, Akarin Akaranitimaytharatt, Kanthi Pitithan, Plerng Pollapakk Vacharaponghiran, Kritteera Inpornwijit"
9,Grimm,https://www.tvmaze.com/shows/10/grimm,Scripted,English,"['Drama', 'Crime', 'Supernatural']",Ended,60,10/28/2011,http://www.nbc.com/grimm,20:00,['Friday'],NBC,United States,US,America/New_York,"Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",http://static.tvmaze.com/uploads/images/original_untouched/69/174906.jpg,//static.tvmaze.com/uploads/images/medium_portrait/69/174906.jpg,Stephen CarpenterDavid GreenwaltJim Kouf,8.5,241,NA,NA,NA
